Id,Closing_Time__c,Day_of_Week__c,LastActivityDate,Name,Notes__c,Opening_Time__c,Storefront__c
a07Ws00000GcE1KIAV,11:00 PM,Saturday,,SH-00000026,Hours set for The Green Fork on Saturday,09:00 AM,a09Ws00000AJiIyIAL
a07Ws00000GcE1LIAV,09:00 PM,Sunday,,SH-00000027,Hours set for The Green Fork on Sunday,09:00 AM,a09Ws00000AJiIyIAL
a07Ws00000GcE1MIAV,10:00 PM,Monday,,SH-00000028,Hours set for Trailside Deli on Monday,08:00 AM,a09Ws00000AJiIzIAL
a07Ws00000GcE1NIAV,10:00 PM,Tuesday,,SH-00000029,Hours set for Trailside Deli on Tuesday,08:00 AM,a09Ws00000AJiIzIAL
a07Ws00000GcE1OIAV,10:00 PM,Wednesday,,SH-00000030,Hours set for Trailside Deli on Wednesday,08:00 AM,a09Ws00000AJiIzIAL
a07Ws00000GcE1PIAV,10:00 PM,Thursday,,SH-00000031,Hours set for Trailside Deli on Thursday,08:00 AM,a09Ws00000AJiIzIAL
a07Ws00000GcE1QIAV,11:00 PM,Friday,,SH-00000032,Hours set for Trailside Deli on Friday,08:00 AM,a09Ws00000AJiIzIAL
a07Ws00000GcE1RIAV,11:00 PM,Saturday,,SH-00000033,Hours set for Trailside Deli on Saturday,09:00 AM,a09Ws00000AJiIzIAL
a07Ws00000GcE1SIAV,09:00 PM,Sunday,,SH-00000034,Hours set for Trailside Deli on Sunday,09:00 AM,a09Ws00000AJiIzIAL
a07Ws00000GcE1TIAV,10:00 PM,Monday,,SH-00000035,Hours set for Munch Central on Monday,08:00 AM,a09Ws00000AJiJ0IAL
a07Ws00000GcE1UIAV,10:00 PM,Tuesday,,SH-00000036,Hours set for Munch Central on Tuesday,08:00 AM,a09Ws00000AJiJ0IAL
a07Ws00000GcE1VIAV,10:00 PM,Wednesday,,SH-00000037,Hours set for Munch Central on Wednesday,08:00 AM,a09Ws00000AJiJ0IAL
a07Ws00000GcE1WIAV,10:00 PM,Thursday,,SH-00000038,Hours set for Munch Central on Thursday,08:00 AM,a09Ws00000AJiJ0IAL
a07Ws00000GcE1XIAV,11:00 PM,Friday,,SH-00000039,Hours set for Munch Central on Friday,08:00 AM,a09Ws00000AJiJ0IAL
a07Ws00000GcE1YIAV,11:00 PM,Saturday,,SH-00000040,Hours set for Munch Central on Saturday,09:00 AM,a09Ws00000AJiJ0IAL
a07Ws00000GcE1ZIAV,09:00 PM,Sunday,,SH-00000041,Hours set for Munch Central on Sunday,09:00 AM,a09Ws00000AJiJ0IAL
a07Ws00000GcE1aIAF,10:00 PM,Monday,,SH-00000042,Hours set for Artisan’s Edge on Monday,08:00 AM,a09Ws00000AJiJ1IAL
a07Ws00000GcE1bIAF,10:00 PM,Tuesday,,SH-00000043,Hours set for Artisan’s Edge on Tuesday,08:00 AM,a09Ws00000AJiJ1IAL
a07Ws00000GcE1cIAF,10:00 PM,Wednesday,,SH-00000044,Hours set for Artisan’s Edge on Wednesday,08:00 AM,a09Ws00000AJiJ1IAL
a07Ws00000GcE1dIAF,10:00 PM,Thursday,,SH-00000045,Hours set for Artisan’s Edge on Thursday,08:00 AM,a09Ws00000AJiJ1IAL
a07Ws00000GcE1eIAF,11:00 PM,Friday,,SH-00000046,Hours set for Artisan’s Edge on Friday,08:00 AM,a09Ws00000AJiJ1IAL
a07Ws00000GcE1fIAF,11:00 PM,Saturday,,SH-00000047,Hours set for Artisan’s Edge on Saturday,09:00 AM,a09Ws00000AJiJ1IAL
a07Ws00000GcE1gIAF,09:00 PM,Sunday,,SH-00000048,Hours set for Artisan’s Edge on Sunday,09:00 AM,a09Ws00000AJiJ1IAL
a07Ws00000GcE1hIAF,10:00 PM,Monday,,SH-00000049,Hours set for Basil Thyme Cafe on Monday,08:00 AM,a09Ws00000AJiJ2IAL
a07Ws00000GcE1iIAF,10:00 PM,Tuesday,,SH-00000050,Hours set for Basil Thyme Cafe on Tuesday,08:00 AM,a09Ws00000AJiJ2IAL
a07Ws00000GcE1jIAF,10:00 PM,Wednesday,,SH-00000051,Hours set for Basil Thyme Cafe on Wednesday,08:00 AM,a09Ws00000AJiJ2IAL
a07Ws00000GcE1kIAF,10:00 PM,Thursday,,SH-00000052,Hours set for Basil Thyme Cafe on Thursday,08:00 AM,a09Ws00000AJiJ2IAL
a07Ws00000GcE1lIAF,11:00 PM,Friday,,SH-00000053,Hours set for Basil Thyme Cafe on Friday,08:00 AM,a09Ws00000AJiJ2IAL
a07Ws00000GcE1mIAF,11:00 PM,Saturday,,SH-00000054,Hours set for Basil Thyme Cafe on Saturday,09:00 AM,a09Ws00000AJiJ2IAL
a07Ws00000GcE1nIAF,09:00 PM,Sunday,,SH-00000055,Hours set for Basil Thyme Cafe on Sunday,09:00 AM,a09Ws00000AJiJ2IAL
a07Ws00000GcE1oIAF,10:00 PM,Monday,,SH-00000056,Hours set for Harvest Grill on Monday,08:00 AM,a09Ws00000AJiJ3IAL
a07Ws00000GcE1pIAF,10:00 PM,Tuesday,,SH-00000057,Hours set for Harvest Grill on Tuesday,08:00 AM,a09Ws00000AJiJ3IAL
a07Ws00000GcE1qIAF,10:00 PM,Wednesday,,SH-00000058,Hours set for Harvest Grill on Wednesday,08:00 AM,a09Ws00000AJiJ3IAL
a07Ws00000GcE1rIAF,10:00 PM,Thursday,,SH-00000059,Hours set for Harvest Grill on Thursday,08:00 AM,a09Ws00000AJiJ3IAL
a07Ws00000GcE1sIAF,11:00 PM,Friday,,SH-00000060,Hours set for Harvest Grill on Friday,08:00 AM,a09Ws00000AJiJ3IAL
a07Ws00000GcE1tIAF,11:00 PM,Saturday,,SH-00000061,Hours set for Harvest Grill on Saturday,09:00 AM,a09Ws00000AJiJ3IAL
a07Ws00000GcE1uIAF,09:00 PM,Sunday,,SH-00000062,Hours set for Harvest Grill on Sunday,09:00 AM,a09Ws00000AJiJ3IAL
a07Ws00000GcE1vIAF,10:00 PM,Monday,,SH-00000063,Hours set for Epicurean Flame on Monday,08:00 AM,a09Ws00000AJiJ4IAL
a07Ws00000GcE1wIAF,10:00 PM,Tuesday,,SH-00000064,Hours set for Epicurean Flame on Tuesday,08:00 AM,a09Ws00000AJiJ4IAL
a07Ws00000GcE1xIAF,10:00 PM,Wednesday,,SH-00000065,Hours set for Epicurean Flame on Wednesday,08:00 AM,a09Ws00000AJiJ4IAL
a07Ws00000GcE1yIAF,10:00 PM,Thursday,,SH-00000066,Hours set for Epicurean Flame on Thursday,08:00 AM,a09Ws00000AJiJ4IAL
a07Ws00000GcE1zIAF,11:00 PM,Friday,,SH-00000067,Hours set for Epicurean Flame on Friday,08:00 AM,a09Ws00000AJiJ4IAL
a07Ws00000GcE20IAF,11:00 PM,Saturday,,SH-00000068,Hours set for Epicurean Flame on Saturday,09:00 AM,a09Ws00000AJiJ4IAL
a07Ws00000GcE21IAF,09:00 PM,Sunday,,SH-00000069,Hours set for Epicurean Flame on Sunday,09:00 AM,a09Ws00000AJiJ4IAL
a07Ws00000GcE22IAF,10:00 PM,Monday,,SH-00000070,Hours set for Urban Table Downtown on Monday,08:00 AM,a09Ws00000AJixFIAT
a07Ws00000GcE23IAF,10:00 PM,Tuesday,,SH-00000071,Hours set for Urban Table Downtown on Tuesday,08:00 AM,a09Ws00000AJixFIAT
a07Ws00000GcE24IAF,10:00 PM,Wednesday,,SH-00000072,Hours set for Urban Table Downtown on Wednesday,08:00 AM,a09Ws00000AJixFIAT
a07Ws00000GcE25IAF,10:00 PM,Thursday,,SH-00000073,Hours set for Urban Table Downtown on Thursday,08:00 AM,a09Ws00000AJixFIAT
a07Ws00000GcE26IAF,11:00 PM,Friday,,SH-00000074,Hours set for Urban Table Downtown on Friday,08:00 AM,a09Ws00000AJixFIAT
a07Ws00000GcE27IAF,11:00 PM,Saturday,,SH-00000075,Hours set for Urban Table Downtown on Saturday,09:00 AM,a09Ws00000AJixFIAT
a07Ws00000GcE28IAF,09:00 PM,Sunday,,SH-00000076,Hours set for Urban Table Downtown on Sunday,09:00 AM,a09Ws00000AJixFIAT
a07Ws00000GcE29IAF,10:00 PM,Monday,,SH-00000077,Hours set for Urban Table Deep Ellum on Monday,08:00 AM,a09Ws00000AJixGIAT
a07Ws00000GcE2AIAV,10:00 PM,Tuesday,,SH-00000078,Hours set for Urban Table Deep Ellum on Tuesday,08:00 AM,a09Ws00000AJixGIAT
a07Ws00000GcE2BIAV,10:00 PM,Wednesday,,SH-00000079,Hours set for Urban Table Deep Ellum on Wednesday,08:00 AM,a09Ws00000AJixGIAT
a07Ws00000GcE2CIAV,10:00 PM,Thursday,,SH-00000080,Hours set for Urban Table Deep Ellum on Thursday,08:00 AM,a09Ws00000AJixGIAT
a07Ws00000GcE2DIAV,11:00 PM,Friday,,SH-00000081,Hours set for Urban Table Deep Ellum on Friday,08:00 AM,a09Ws00000AJixGIAT
a07Ws00000GcE2EIAV,11:00 PM,Saturday,,SH-00000082,Hours set for Urban Table Deep Ellum on Saturday,09:00 AM,a09Ws00000AJixGIAT
a07Ws00000GcE2FIAV,09:00 PM,Sunday,,SH-00000083,Hours set for Urban Table Deep Ellum on Sunday,09:00 AM,a09Ws00000AJixGIAT
a07Ws00000GcE2GIAV,10:00 PM,Monday,,SH-00000084,Hours set for Urban Table Uptown on Monday,08:00 AM,a09Ws00000AJixHIAT
a07Ws00000GcE2HIAV,10:00 PM,Tuesday,,SH-00000085,Hours set for Urban Table Uptown on Tuesday,08:00 AM,a09Ws00000AJixHIAT
a07Ws00000GcE2IIAV,10:00 PM,Wednesday,,SH-00000086,Hours set for Urban Table Uptown on Wednesday,08:00 AM,a09Ws00000AJixHIAT
a07Ws00000GcE2JIAV,10:00 PM,Thursday,,SH-00000087,Hours set for Urban Table Uptown on Thursday,08:00 AM,a09Ws00000AJixHIAT
a07Ws00000GcE2KIAV,11:00 PM,Friday,,SH-00000088,Hours set for Urban Table Uptown on Friday,08:00 AM,a09Ws00000AJixHIAT
a07Ws00000GcGQjIAN,11:00 PM,Saturday,,SH-00000089,Hours set for Urban Table Uptown on Saturday,09:00 AM,a09Ws00000AJixHIAT
a07Ws00000GcGQkIAN,09:00 PM,Sunday,,SH-00000090,Hours set for Urban Table Uptown on Sunday,09:00 AM,a09Ws00000AJixHIAT
a07Ws00000GcGQlIAN,10:00 PM,Monday,,SH-00000091,Hours set for The Savory Spot Bishop Arts on Monday,08:00 AM,a09Ws00000AJixIIAT
a07Ws00000GcGQmIAN,10:00 PM,Tuesday,,SH-00000092,Hours set for The Savory Spot Bishop Arts on Tuesday,08:00 AM,a09Ws00000AJixIIAT
a07Ws00000GcGQnIAN,10:00 PM,Wednesday,,SH-00000093,Hours set for The Savory Spot Bishop Arts on Wednesday,08:00 AM,a09Ws00000AJixIIAT
a07Ws00000GcGQoIAN,10:00 PM,Thursday,,SH-00000094,Hours set for The Savory Spot Bishop Arts on Thursday,08:00 AM,a09Ws00000AJixIIAT
a07Ws00000GcGQpIAN,11:00 PM,Friday,,SH-00000095,Hours set for The Savory Spot Bishop Arts on Friday,08:00 AM,a09Ws00000AJixIIAT
a07Ws00000GcGQqIAN,11:00 PM,Saturday,,SH-00000096,Hours set for The Savory Spot Bishop Arts on Saturday,09:00 AM,a09Ws00000AJixIIAT
a07Ws00000GcGQrIAN,09:00 PM,Sunday,,SH-00000097,Hours set for The Savory Spot Bishop Arts on Sunday,09:00 AM,a09Ws00000AJixIIAT
a07Ws00000GcGQsIAN,09:30 PM,Monday,,SH-00000098,Hours set for The Savory Spot Uptown on Monday,07:30 AM,a09Ws00000AJixJIAT
a07Ws00000GcGQtIAN,10:00 PM,Tuesday,,SH-00000099,Hours set for The Savory Spot Uptown on Tuesday,08:00 AM,a09Ws00000AJixJIAT
a07Ws00000GcGQuIAN,10:00 PM,Wednesday,,SH-00000100,Hours set for The Savory Spot Uptown on Wednesday,08:30 AM,a09Ws00000AJixJIAT
a07Ws00000GcGQvIAN,10:00 PM,Thursday,,SH-00000101,Hours set for The Savory Spot Uptown on Thursday,08:00 AM,a09Ws00000AJixJIAT
a07Ws00000GcGQwIAN,11:00 PM,Friday,,SH-00000102,Hours set for The Savory Spot Uptown on Friday,08:00 AM,a09Ws00000AJixJIAT
a07Ws00000GcGQxIAN,11:00 PM,Saturday,,SH-00000103,Hours set for The Savory Spot Uptown on Saturday,09:00 AM,a09Ws00000AJixJIAT
a07Ws00000GcGQyIAN,09:00 PM,Sunday,,SH-00000104,Hours set for The Savory Spot Uptown on Sunday,09:00 AM,a09Ws00000AJixJIAT
a07Ws00000GcGQzIAN,10:00 PM,Monday,,SH-00000105,Hours set for Fusion Bites Knox-Henderson on Monday,08:00 AM,a09Ws00000AJixKIAT
a07Ws00000GcGR0IAN,10:00 PM,Tuesday,,SH-00000106,Hours set for Fusion Bites Knox-Henderson on Tuesday,08:00 AM,a09Ws00000AJixKIAT
a07Ws00000GcGR1IAN,10:00 PM,Wednesday,,SH-00000107,Hours set for Fusion Bites Knox-Henderson on Wednesday,08:00 AM,a09Ws00000AJixKIAT
a07Ws00000GcGR2IAN,10:00 PM,Thursday,,SH-00000108,Hours set for Fusion Bites Knox-Henderson on Thursday,08:00 AM,a09Ws00000AJixKIAT
a07Ws00000GcGR3IAN,11:00 PM,Friday,,SH-00000109,Hours set for Fusion Bites Knox-Henderson on Friday,08:00 AM,a09Ws00000AJixKIAT
a07Ws00000GcGR4IAN,11:00 PM,Saturday,,SH-00000110,Hours set for Fusion Bites Knox-Henderson on Saturday,09:00 AM,a09Ws00000AJixKIAT
a07Ws00000GcGR5IAN,09:00 PM,Sunday,,SH-00000111,Hours set for Fusion Bites Knox-Henderson on Sunday,09:00 AM,a09Ws00000AJixKIAT
a07Ws00000GcGR6IAN,10:00 PM,Monday,,SH-00000112,Hours set for Fusion Bites Oak Lawn on Monday,08:00 AM,a09Ws00000AJixLIAT
a07Ws00000GcGR7IAN,10:00 PM,Tuesday,,SH-00000113,Hours set for Fusion Bites Oak Lawn on Tuesday,08:00 AM,a09Ws00000AJixLIAT
a07Ws00000GcGR8IAN,10:00 PM,Wednesday,,SH-00000114,Hours set for Fusion Bites Oak Lawn on Wednesday,08:00 AM,a09Ws00000AJixLIAT
a07Ws00000GcGR9IAN,10:00 PM,Thursday,,SH-00000115,Hours set for Fusion Bites Oak Lawn on Thursday,08:00 AM,a09Ws00000AJixLIAT
a07Ws00000GcGRAIA3,11:00 PM,Friday,,SH-00000116,Hours set for Fusion Bites Oak Lawn on Friday,08:00 AM,a09Ws00000AJixLIAT
a07Ws00000GcGRBIA3,11:00 PM,Saturday,,SH-00000117,Hours set for Fusion Bites Oak Lawn on Saturday,09:00 AM,a09Ws00000AJixLIAT
a07Ws00000GcGRCIA3,09:00 PM,Sunday,,SH-00000118,Hours set for Fusion Bites Oak Lawn on Sunday,09:00 AM,a09Ws00000AJixLIAT
a07Ws00000GcGRDIA3,10:00 PM,Monday,,SH-00000119,Hours set for Munch Central Trinity Groves on Monday,08:00 AM,a09Ws00000AJixMIAT
a07Ws00000GcGREIA3,10:00 PM,Tuesday,,SH-00000120,Hours set for Munch Central Trinity Groves on Tuesday,08:00 AM,a09Ws00000AJixMIAT
a07Ws00000GcGRFIA3,10:00 PM,Wednesday,,SH-00000121,Hours set for Munch Central Trinity Groves on Wednesday,08:00 AM,a09Ws00000AJixMIAT
a07Ws00000GcGRGIA3,10:00 PM,Thursday,,SH-00000122,Hours set for Munch Central Trinity Groves on Thursday,08:00 AM,a09Ws00000AJixMIAT
a07Ws00000GcGRHIA3,11:00 PM,Friday,,SH-00000123,Hours set for Munch Central Trinity Groves on Friday,08:00 AM,a09Ws00000AJixMIAT
a07Ws00000GcGRIIA3,11:30 PM,Saturday,,SH-00000124,Hours set for Munch Central Trinity Groves on Saturday,10:00 AM,a09Ws00000AJixMIAT
a07Ws00000GcGRJIA3,09:30 PM,Sunday,,SH-00000125,Hours set for Munch Central Trinity Groves on Sunday,10:00 AM,a09Ws00000AJixMIAT
a07Ws00000GcGRKIA3,10:00 PM,Monday,,SH-00000126,Hours set for Munch Central Knox-Henderson on Monday,08:00 AM,a09Ws00000AJixNIAT
a07Ws00000GcGRLIA3,10:00 PM,Tuesday,,SH-00000127,Hours set for Munch Central Knox-Henderson on Tuesday,08:00 AM,a09Ws00000AJixNIAT
a07Ws00000GcGRMIA3,10:00 PM,Wednesday,,SH-00000128,Hours set for Munch Central Knox-Henderson on Wednesday,08:00 AM,a09Ws00000AJixNIAT
a07Ws00000GcGRNIA3,10:00 PM,Thursday,,SH-00000129,Hours set for Munch Central Knox-Henderson on Thursday,08:00 AM,a09Ws00000AJixNIAT
a07Ws00000GcGROIA3,11:00 PM,Friday,,SH-00000130,Hours set for Munch Central Knox-Henderson on Friday,08:00 AM,a09Ws00000AJixNIAT
a07Ws00000GcGRPIA3,11:00 PM,Saturday,,SH-00000131,Hours set for Munch Central Knox-Henderson on Saturday,09:00 AM,a09Ws00000AJixNIAT
a07Ws00000GcGRQIA3,09:00 PM,Sunday,,SH-00000132,Hours set for Munch Central Knox-Henderson on Sunday,09:00 AM,a09Ws00000AJixNIAT
a07Ws00000GcGRRIA3,10:00 PM,Monday,,SH-00000133,Hours set for Artisan’s Edge Uptown on Monday,08:00 AM,a09Ws00000AJixOIAT
a07Ws00000GcGRSIA3,10:00 PM,Tuesday,,SH-00000134,Hours set for Artisan’s Edge Uptown on Tuesday,08:00 AM,a09Ws00000AJixOIAT
a07Ws00000GcGRTIA3,10:00 PM,Wednesday,,SH-00000135,Hours set for Artisan’s Edge Uptown on Wednesday,08:00 AM,a09Ws00000AJixOIAT
a07Ws00000GcGRUIA3,10:00 PM,Thursday,,SH-00000136,Hours set for Artisan’s Edge Uptown on Thursday,08:00 AM,a09Ws00000AJixOIAT
a07Ws00000GcGRVIA3,11:00 PM,Friday,,SH-00000137,Hours set for Artisan’s Edge Uptown on Friday,08:00 AM,a09Ws00000AJixOIAT
a07Ws00000GcGRWIA3,11:00 PM,Saturday,,SH-00000138,Hours set for Artisan’s Edge Uptown on Saturday,09:00 AM,a09Ws00000AJixOIAT
a07Ws00000GcGRXIA3,09:00 PM,Sunday,,SH-00000139,Hours set for Artisan’s Edge Uptown on Sunday,09:00 AM,a09Ws00000AJixOIAT
a07Ws00000GcGRYIA3,10:00 PM,Monday,,SH-00000140,Hours set for Artisan’s Edge Plano on Monday,08:00 AM,a09Ws00000AJixPIAT
a07Ws00000GcGRZIA3,10:00 PM,Tuesday,,SH-00000141,Hours set for Artisan’s Edge Plano on Tuesday,08:00 AM,a09Ws00000AJixPIAT
a07Ws00000GcGRaIAN,10:00 PM,Wednesday,,SH-00000142,Hours set for Artisan’s Edge Plano on Wednesday,08:00 AM,a09Ws00000AJixPIAT
a07Ws00000GcGRbIAN,10:00 PM,Thursday,,SH-00000143,Hours set for Artisan’s Edge Plano on Thursday,08:00 AM,a09Ws00000AJixPIAT
a07Ws00000GcGRcIAN,11:00 PM,Friday,,SH-00000144,Hours set for Artisan’s Edge Plano on Friday,08:00 AM,a09Ws00000AJixPIAT
a07Ws00000GcGRdIAN,11:00 PM,Saturday,,SH-00000145,Hours set for Artisan’s Edge Plano on Saturday,09:00 AM,a09Ws00000AJixPIAT
a07Ws00000GcGReIAN,09:00 PM,Sunday,,SH-00000146,Hours set for Artisan’s Edge Plano on Sunday,09:00 AM,a09Ws00000AJixPIAT
