Id,Account_Type_Description__c,AccountNumber,AccountSource,AnnualRevenue,BillingCity,BillingCountry,BillingGeocodeAccuracy,BillingLatitude,BillingLongitude,BillingPostalCode,BillingState,BillingStreet,Contract_Status__c,Description,Fax,Industry,Jigsaw,JigsawCompanyId,LastActivityDate,Name,NumberOfEmployees,OperatingHoursId,OwnerId,Ownership,ParentId,Payout_Terms__c,Phone,PhotoUrl,Rating,RecordTypeId,ShippingCity,ShippingCountry,ShippingGeocodeAccuracy,ShippingLatitude,ShippingLongitude,ShippingPostalCode,ShippingState,ShippingStreet,Sic,SicDesc,Site,TickerSymbol,Type,Website
001Ws00003av0RnIAI,"A standalone business providing food or related services. Often a single location with independent ownership, such as a family-run restaurant or shop.",,,400000,Dallas,USA,,,,75208,TX,1101 West Davis Street,Signed,"A cozy café known for its artisanal coffee, baked goods, and light lunch options. Basil & Thyme is a favorite spot for catching up with friends or enjoying a peaceful afternoon.",,,,,,Basil & Thyme Cafe,20,,005Ws000003miUrIAI,,,Weekly,469-555-8080,/services/images/photo/001Ws00003av0RnIAI,,012Ws000000x75WIAQ,Dallas,USA,,,,75208,TX,1101 West Davis Street,,,,,Independent Vendor,www.basilthyme.com
001Ws00003av0RoIAI,A company that owns or operates multiple restaurant brands or locations under a single corporate entity. Often responsible for managing partnerships at scale.,,,2000000,Dallas,USA,,,,75212,TX,320 Singleton Boulevard,Signed,A farm-to-table restaurant dedicated to showcasing the best of local produce and flavors. Harvest Table Kitchens celebrates community and sustainability in every dish.,,,,,,Harvest Table Kitchens,100,,005Ws000003miUrIAI,,,Monthly,972-555-9090,/services/images/photo/001Ws00003av0RoIAI,,012Ws000000x75WIAQ,Dallas,USA,,,,75212,TX,320 Singleton Boulevard,,,,,Restaurant Group,www.harvesttable.com
001Ws00003av0RpIAI,"A standalone business providing food or related services. Often a single location with independent ownership, such as a family-run restaurant or shop.",,,1500000,Dallas,USA,,,,75204,TX,3839 McKinney Avenue,Signed,A contemporary steakhouse with a bold approach to grilling. Epicurean Edge Grill combines traditional techniques with innovative flavors for an unforgettable dining experience.,,,,,,Epicurean Edge Grill,75,,005Ws000003miUrIAI,,,Biweekly,214-555-0100,/services/images/photo/001Ws00003av0RpIAI,,012Ws000000x75WIAQ,Dallas,USA,,,,75204,TX,3839 McKinney Avenue,,,,,Independent Vendor,www.epicureanedge.com
001Ws00003b5HNxIAM,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100814,,,Washington,United States,,,,20016,District of Columbia,434 Lunder Pass,,,,,,,,MacVay Household - 100814,,,005Ws000003miUrIAI,,,,1845306311,/services/images/photo/001Ws00003b5HNxIAM,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HNyIAM,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,101069,,,Honolulu,United States,,,,96850,Hawaii,41 Spenser Trail,,,,,,,,Lewing Household - 101069,,,005Ws000003miUrIAI,,,,9166323595,/services/images/photo/001Ws00003b5HNyIAM,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HNzIAM,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100551,,,San Antonio,United States,,,,78278,Texas,01782 Sommers Crossing,,,,,,,,Seiler Household - 100551,,,005Ws000003miUrIAI,,,,5188519076,/services/images/photo/001Ws00003b5HNzIAM,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HO0IAM,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,101040,,,Washington,United States,,,,20016,District of Columbia,82623 Melvin Court,,,,,,,,Gadault Household - 101040,,,005Ws000003miUrIAI,,,,7189497955,/services/images/photo/001Ws00003b5HO0IAM,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HO1IAM,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100923,,,Honolulu,United States,,,,96825,Hawaii,61674 Fremont Plaza,,,,,,,,Pigford Household - 100923,,,005Ws000003miUrIAI,,,,3354066471,/services/images/photo/001Ws00003b5HO1IAM,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HO2IAM,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,101076,,,New York City,United States,,,,10270,New York,25777 Artisan Point,,,,,,,,Petrulis Household - 101076,,,005Ws000003miUrIAI,,,,8028343827,/services/images/photo/001Ws00003b5HO2IAM,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HO3IAM,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100792,,,Des Moines,United States,,,,50981,Iowa,51039 Golf Alley,,,,,,,,Dorcey Household - 100792,,,005Ws000003miUrIAI,,,,2397585678,/services/images/photo/001Ws00003b5HO3IAM,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HO4IAM,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100616,,,Indianapolis,United States,,,,46254,Indiana,67 Birchwood Court,,,,,,,,Stebbings Household - 100616,,,005Ws000003miUrIAI,,,,1285357744,/services/images/photo/001Ws00003b5HO4IAM,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HO5IAM,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100860,,,Denver,United States,,,,80243,Colorado,2123 Amoth Park,,,,,,,,Oliva Household - 100860,,,005Ws000003miUrIAI,,,,8188200253,/services/images/photo/001Ws00003b5HO5IAM,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HO6IAM,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100857,,,Allentown,United States,,,,18105,Pennsylvania,887 School Avenue,,,,,,,,Dabner Household - 100857,,,005Ws000003miUrIAI,,,,8794074329,/services/images/photo/001Ws00003b5HO6IAM,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HO7IAM,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100550,,,Chicago,United States,,,,60624,Illinois,23379 Macpherson Junction,,,,,,,,Domone Household - 100550,,,005Ws000003miUrIAI,,,,6152615985,/services/images/photo/001Ws00003b5HO7IAM,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HO8IAM,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,101008,,,Saint Cloud,United States,,,,56372,Minnesota,3250 Golden Leaf Street,,,,,,,,Power Household - 101008,,,005Ws000003miUrIAI,,,,4166097014,/services/images/photo/001Ws00003b5HO8IAM,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HO9IAM,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,101010,,,Norwalk,United States,,,,6854,Connecticut,147 Bashford Pass,,,,,,,,Preddle Household - 101010,,,005Ws000003miUrIAI,,,,1424477982,/services/images/photo/001Ws00003b5HO9IAM,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HOAIA2,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100920,,,Chicago,United States,,,,60609,Illinois,476 Eliot Parkway,,,,,,,,St. Quintin Household - 100920,,,005Ws000003miUrIAI,,,,3565018469,/services/images/photo/001Ws00003b5HOAIA2,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HOBIA2,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,101092,,,Columbus,United States,,,,31998,Georgia,1 Bartelt Lane,,,,,,,,Forman Household - 101092,,,005Ws000003miUrIAI,,,,1374236053,/services/images/photo/001Ws00003b5HOBIA2,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HOCIA2,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,101063,,,Jeffersonville,United States,,,,47134,Indiana,307 Blaine Way,,,,,,,,Tidbold Household - 101063,,,005Ws000003miUrIAI,,,,2891854176,/services/images/photo/001Ws00003b5HOCIA2,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HODIA2,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100602,,,Huntington,United States,,,,25709,West Virginia,8 Schlimgen Point,,,,,,,,Sommers Household - 100602,,,005Ws000003miUrIAI,,,,4437830845,/services/images/photo/001Ws00003b5HODIA2,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HOEIA2,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100962,,,Washington,United States,,,,20546,District of Columbia,4620 Namekagon Drive,,,,,,,,Chatelain Household - 100962,,,005Ws000003miUrIAI,,,,5188705332,/services/images/photo/001Ws00003b5HOEIA2,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HOFIA2,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100888,,,Shreveport,United States,,,,71151,Louisiana,6 Harbort Drive,,,,,,,,Maryet Household - 100888,,,005Ws000003miUrIAI,,,,3972872544,/services/images/photo/001Ws00003b5HOFIA2,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HOGIA2,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100516,,,Washington,United States,,,,20404,District of Columbia,8 Chinook Way,,,,,,,,Kristof Household - 100516,,,005Ws000003miUrIAI,,,,2656387519,/services/images/photo/001Ws00003b5HOGIA2,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HOHIA2,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100513,,,Macon,United States,,,,31205,Georgia,6717 Alpine Drive,,,,,,,,Gallardo Household - 100513,,,005Ws000003miUrIAI,,,,2638484740,/services/images/photo/001Ws00003b5HOHIA2,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HOIIA2,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100673,,,San Antonio,United States,,,,78215,Texas,37007 Mitchell Court,,,,,,,,Hayler Household - 100673,,,005Ws000003miUrIAI,,,,5767275739,/services/images/photo/001Ws00003b5HOIIA2,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HOJIA2,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100861,,,Rochester,United States,,,,14683,New York,0 3rd Park,,,,,,,,Castlake Household - 100861,,,005Ws000003miUrIAI,,,,9395059908,/services/images/photo/001Ws00003b5HOJIA2,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HOKIA2,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,101069,,,Greenville,United States,,,,29605,South Carolina,2 Lukken Drive,,,,,,,,Zoephel Household - 101069,,,005Ws000003miUrIAI,,,,2905211476,/services/images/photo/001Ws00003b5HOKIA2,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HOLIA2,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100740,,,Charleston,United States,,,,25336,West Virginia,9 Pleasure Alley,,,,,,,,Heart Household - 100740,,,005Ws000003miUrIAI,,,,7606880554,/services/images/photo/001Ws00003b5HOLIA2,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HOMIA2,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100926,,,Saint Louis,United States,,,,63180,Missouri,7510 Algoma Avenue,,,,,,,,Housaman Household - 100926,,,005Ws000003miUrIAI,,,,2259223129,/services/images/photo/001Ws00003b5HOMIA2,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HONIA2,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100933,,,Cincinnati,United States,,,,45249,Ohio,8422 Mockingbird Hill,,,,,,,,A'Barrow Household - 100933,,,005Ws000003miUrIAI,,,,6739183558,/services/images/photo/001Ws00003b5HONIA2,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HOOIA2,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100510,,,Denver,United States,,,,80291,Colorado,4708 Lillian Plaza,,,,,,,,Marley Household - 100510,,,005Ws000003miUrIAI,,,,9419149003,/services/images/photo/001Ws00003b5HOOIA2,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HOPIA2,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100862,,,Richmond,United States,,,,23285,Virginia,2 Pearson Court,,,,,,,,Trathen Household - 100862,,,005Ws000003miUrIAI,,,,8575095111,/services/images/photo/001Ws00003b5HOPIA2,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HOQIA2,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100741,,,Hyattsville,United States,,,,20784,Maryland,4328 Crowley Parkway,,,,,,,,Bassindale Household - 100741,,,005Ws000003miUrIAI,,,,9406213452,/services/images/photo/001Ws00003b5HOQIA2,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HORIA2,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100814,,,Washington,United States,,,,20535,District of Columbia,752 Laurel Way,,,,,,,,Skupinski Household - 100814,,,005Ws000003miUrIAI,,,,5158452321,/services/images/photo/001Ws00003b5HORIA2,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HOSIA2,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100875,,,Houston,United States,,,,77299,Texas,77006 Raven Point,,,,,,,,Antrag Household - 100875,,,005Ws000003miUrIAI,,,,6166083738,/services/images/photo/001Ws00003b5HOSIA2,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HOTIA2,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100678,,,Washington,United States,,,,20210,District of Columbia,43 Anhalt Center,,,,,,,,Downe Household - 100678,,,005Ws000003miUrIAI,,,,6957168010,/services/images/photo/001Ws00003b5HOTIA2,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HOUIA2,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100512,,,New York City,United States,,,,10009,New York,0964 Meadow Ridge Plaza,,,,,,,,Briant Household - 100512,,,005Ws000003miUrIAI,,,,1654042321,/services/images/photo/001Ws00003b5HOUIA2,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HOVIA2,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100705,,,Austin,United States,,,,78715,Texas,31887 Sycamore Street,,,,,,,,Sidden Household - 100705,,,005Ws000003miUrIAI,,,,7967724982,/services/images/photo/001Ws00003b5HOVIA2,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HOWIA2,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100828,,,Warren,United States,,,,44485,Ohio,046 Elka Circle,,,,,,,,Silcox Household - 100828,,,005Ws000003miUrIAI,,,,8835378267,/services/images/photo/001Ws00003b5HOWIA2,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HOXIA2,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,101096,,,Joliet,United States,,,,60435,Illinois,848 Maywood Alley,,,,,,,,MacIntyre Household - 101096,,,005Ws000003miUrIAI,,,,1412280183,/services/images/photo/001Ws00003b5HOXIA2,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HOYIA2,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100557,,,Tucson,United States,,,,85754,Arizona,49676 5th Center,,,,,,,,Hargess Household - 100557,,,005Ws000003miUrIAI,,,,1265415018,/services/images/photo/001Ws00003b5HOYIA2,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HOZIA2,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100505,,,Colorado Springs,United States,,,,80945,Colorado,30 Knutson Road,,,,,,,,Batrick Household - 100505,,,005Ws000003miUrIAI,,,,2489420989,/services/images/photo/001Ws00003b5HOZIA2,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HOaIAM,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100694,,,Atlanta,United States,,,,31136,Georgia,518 Eliot Alley,,,,,,,,Redmille Household - 100694,,,005Ws000003miUrIAI,,,,8439159445,/services/images/photo/001Ws00003b5HOaIAM,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HObIAM,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100604,,,Washington,United States,,,,20022,District of Columbia,0 Linden Court,,,,,,,,Winders Household - 100604,,,005Ws000003miUrIAI,,,,9388692783,/services/images/photo/001Ws00003b5HObIAM,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HOcIAM,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100701,,,Fresno,United States,,,,93762,California,42 Packers Park,,,,,,,,More Household - 100701,,,005Ws000003miUrIAI,,,,8165076593,/services/images/photo/001Ws00003b5HOcIAM,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HOdIAM,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,101028,,,Toledo,United States,,,,43615,Ohio,252 Hansons Avenue,,,,,,,,Pantry Household - 101028,,,005Ws000003miUrIAI,,,,2451571118,/services/images/photo/001Ws00003b5HOdIAM,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HOeIAM,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100664,,,Memphis,United States,,,,38126,Tennessee,7796 Claremont Circle,,,,,,,,Yeliashev Household - 100664,,,005Ws000003miUrIAI,,,,4963928358,/services/images/photo/001Ws00003b5HOeIAM,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HOfIAM,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100850,,,Hollywood,United States,,,,33023,Florida,8 Main Drive,,,,,,,,Vinnicombe Household - 100850,,,005Ws000003miUrIAI,,,,5587025058,/services/images/photo/001Ws00003b5HOfIAM,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HOgIAM,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,101044,,,Midland,United States,,,,79705,Texas,61663 Doe Crossing Court,,,,,,,,Elix Household - 101044,,,005Ws000003miUrIAI,,,,9298115920,/services/images/photo/001Ws00003b5HOgIAM,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HOhIAM,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100817,,,Colorado Springs,United States,,,,80920,Colorado,02744 Cherokee Center,,,,,,,,Jillings Household - 100817,,,005Ws000003miUrIAI,,,,8285511114,/services/images/photo/001Ws00003b5HOhIAM,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
001Ws00003b5HOiIAM,Represents individual customers or organizations purchasing food or services through the platform. Typically associated with order history and loyalty programs.,100986,,,Pittsburgh,United States,,,,15266,Pennsylvania,8308 Pearson Pass,,,,,,,,Ozintsev Household - 100986,,,005Ws000003miUrIAI,,,,5556395992,/services/images/photo/001Ws00003b5HOiIAM,,012Ws000000x75VIAQ,,,,,,,,,,,,,Customer Account,
